area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/tunisia/area/1802344233
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/tunisia/area/1802344287
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/tunisia/area/1802344341
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/tunisia/area/1802344395
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/tunisia/area/1802344449
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/tunisia/area/1802344557
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/tunisia/area/1802344611
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/2185188393
Radier,-21.1027469,55.27721075,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/2066732703
400,-21.10272862124,55.27722721081,18,"{""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1}",{},"-21.1021063,55.2760628,-21.1033875,55.2783587",3,0,https://www.thecrag.com/en/climbing/africa/area/2066732769
Les Hauts,-21.1027469,55.27721075,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/2066737338
Arête Faut y croire,-21.12850133785,55.45212978956,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836149319
Fleurs Jaunes,-21.13091133338,55.44668042744,16,"{""5.10b"": 1, ""5.10d"": 1, ""5.11b"": 1, ""5.11d"": 1, ""5.12b"": 1, ""5.12d"": 1, ""5.13b"": 1, ""5.13d"": 1}","{""Sport"": {""count"": 3, ""pct"": ""100.0%""}}","-21.1302666,55.4461216,-21.1314975,55.4473554",3,0,https://www.thecrag.com/en/climbing/africa/area/1836149385
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836149583
Mohicans,-21.12998567919,55.44506067214,15,"{""5.6"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1}","{""Sport"": {""count"": 2, ""pct"": ""100.0%""}}","-21.1291865,55.443713,-21.1309578,55.4461913",3,0,https://www.thecrag.com/en/climbing/africa/area/1836159639
Ferrière,-21.12682797358,55.45804793037,0,{},{},"-21.1257915,55.4560083,-21.1277931,55.4601281",3,0,https://www.thecrag.com/en/climbing/africa/area/1836166305
Château Fort,-21.12847189767,55.46153883347,1,"{""5.10a"": 1}",{},"-21.1279557,55.4607719,-21.1290665,55.4622632",3,0,https://www.thecrag.com/en/climbing/africa/area/1836166872
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836167430
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1451510166
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1451510106
Tortue,-21.15283172186,55.28294413082,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/2053453689
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/2053453755
Falaise,-21.15283172186,55.28294413082,18,"{""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1}",{},,3,0,https://www.thecrag.com/en/climbing/africa/area/2053453821
Falaise,-21.15283172186,55.28294413082,18,"{""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1}",{},,3,0,https://www.thecrag.com/en/climbing/africa/area/2053453821
Historique,-21.27944201704,55.45356486667,46,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}",{},"-21.278816,55.4530984,-21.2799566,55.4539483",3,0,https://www.thecrag.com/en/climbing/africa/area/1836146151
Aloes,-21.27514257659,55.45413968974,26,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1}",{},"-21.2747843,55.4538472,-21.2753881,55.4543893",3,0,https://www.thecrag.com/en/climbing/africa/area/1836146217
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836146283
Moustique,-21.2800318,55.4524677,2,"{""5.11c"": 1, ""5.12a"": 1}",{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836146349
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836170505
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/10642009623
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/10642012002
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836117267
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836117369
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836117468
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/1836117585
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9654141111
Secteur Canel Rive Droite,-21.23764588722,55.48557575053,46,"{""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}",{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9654141165
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9654141219
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9654141219
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/mozambique/area/12362819070
Malema,-17.43256315492,35.77694533890,1,"{""5.11d"": 1}",{},,3,0,https://www.thecrag.com/en/climbing/mozambique/area/12362819760#t12362823714
Panga,-2.12476295785,30.69358721391,27,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1}",{},"-2.1235631,30.6899988,-2.1269939,30.6960606",3,0,https://www.thecrag.com/en/climbing/africa/area/11891923#t9183949353
Panga,-2.12476295785,30.69358721391,27,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1}",{},"-2.1235631,30.6899988,-2.1269939,30.6960606",3,0,https://www.thecrag.com/en/climbing/africa/area/11891923#t9183953904
Panga,-2.12476295785,30.69358721391,27,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1}",{},"-2.1235631,30.6899988,-2.1269939,30.6960606",3,0,https://www.thecrag.com/en/climbing/africa/area/11891923#t7253386479
Panga,-2.12476295785,30.69358721391,27,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1}",{},"-2.1235631,30.6899988,-2.1269939,30.6960606",3,0,https://www.thecrag.com/en/climbing/africa/area/11891923#t1284518367
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705535122
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705558012
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705599391
Anse La Farine,-4.33610594290,55.78605161333,3,{},{},"-4.3345355,55.7839231,-4.3378305,55.7884078",3,0,https://www.thecrag.com/en/climbing/africa/area/9705691599
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705728232
Turtle Bay,-4.71446579932,55.52325526667,4,{},{},"-4.7115556,55.5211953,-4.7174579,55.5252294",3,0,https://www.thecrag.com/en/climbing/africa/area/9705464127
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/5791196964
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705798303
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705919224
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705926250
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705936960
Anse Papaie,-4.28406786949,55.73161625112,1,{},{},"-4.2834073,55.730692,-4.2847981,55.7326446",3,0,https://www.thecrag.com/en/climbing/africa/area/9705505155
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/9705936960
Chã Das Caldeiras,14.94978095000,-24.36620955000,6,{},"{""Sport"": {""count"": 1, ""pct"": ""100.0%""}}","14.9817902,-24.3931604,14.9177717,-24.3392587",3,0,https://www.thecrag.com/en/climbing/africa/area/4641576216
Sport climbs,14.92987745000,-24.38794615000,5,"{""5.12d"": 1, ""5.13b"": 1}",{},,3,0,https://www.thecrag.com/en/climbing/africa/area/4641587298
Boulders,14.92987745000,-24.38794615000,2,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/4641593676
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/4641628653
Mimiso,14.92987745000,-24.38794615000,5,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/4641633942
Ribeira Wall,14.96737665000,-24.38075785000,1,"{""5.7"": 1}",{},"14.9681644,-24.3817449,14.9665889,-24.3797708",3,0,https://www.thecrag.com/en/climbing/africa/area/4641645210
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/8528927637
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/8528937441
Gigante,14.92987745000,-24.38794615000,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/8528937501
El Dorado,14.92987745000,-24.38794615000,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/8528937561
Punto Alto Sud,14.92987745000,-24.38794615000,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/8528937621
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/4641568440
Monte Leste,16.80277820000,-22.97783375000,3,"{""5.1"": 1}",{},"16.810091,-22.9838419,16.7954654,-22.9718256",3,0,https://www.thecrag.com/en/climbing/africa/area/8529073965
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/africa/area/4641568440
Drygalski Mountains,-71.9110508,8.3935547,4,"{""5.10b"": 1, ""5.10d"": 1, ""5.11b"": 1, ""5.11d"": 1, ""5.12b"": 1, ""5.12d"": 1}","{""Alpine"": {""count"": 1, ""pct"": ""50.0%""}, ""Trad"": {""count"": 1, ""pct"": ""50.0%""}}","-71.8948477,8.3090973,-71.9272539,8.4780121",3,0,https://www.thecrag.com/en/climbing/antarctica/area/3286345482
