area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Öküzini,36.7600734,30.94058515,11,{},"{""Sport"": {""count"": 2, ""pct"": ""100.0%""}}",,2,0,https://www.thecrag.com/en/climbing/turkey/antalya/area/637181886
Kanyon Right,36.78647558761,30.41666877839,35,{},{},,2,0,https://www.thecrag.com/en/climbing/turkey/antalya/area/1477633668
Yarasali,36.7600734,30.94058515,0,{},{},,2,0,https://www.thecrag.com/en/climbing/turkey/antalya/area/954191427
Kızılalan,36.59144634962,32.04822984257,0,{},{},"36.5921788,32.0471573,36.5905594,32.0491099",2,0,https://www.thecrag.com/en/climbing/turkey/antalya/area/2160705948
Kaputaş,36.23049962442,29.44985740086,17,{},{},"36.2309159,29.4495004,36.2301983,29.4501119",2,0,https://www.thecrag.com/en/climbing/turkey/antalya/area/10496084715
Left side,36.7600734,30.94058515,9,{},{},,2,0,https://www.thecrag.com/en/climbing/turkey/antalya/area/3340697655
Kourtelorotsos,34.79636511946,32.70272886837,71,{},"{""Sport"": {""count"": 6, ""pct"": ""100.0%""}}","34.7969932,32.7018184,34.7957031,32.7036154",2,0,https://www.thecrag.com/en/climbing/middle-east/area/129930600
Ineia-Drousheia Area,34.9633193,32.37885845,142,{},"{""Sport"": {""count"": 3, ""pct"": ""60.0%""}, ""Bouldering"": {""count"": 2, ""pct"": ""40.0%""}}","34.9719792,32.360028,34.9546594,32.3976889",2,0,https://www.thecrag.com/en/climbing/middle-east/area/7034826309
Episkopi (Lemessos),34.67780853196,32.87536307110,15,{},{},"34.6782157,32.8744932,34.6773092,32.8761669",2,0,https://www.thecrag.com/en/climbing/middle-east/area/5398683633
Cape Greko,34.97182512265,34.06176286758,61,{},"{""Trad"": {""count"": 2, ""pct"": ""33.3%""}, ""Sport"": {""count"": 3, ""pct"": ""50.0%""}, ""Bouldering"": {""count"": 1, ""pct"": ""16.7%""}}","34.9932675,34.0275238,34.9504332,34.0943216",2,0,https://www.thecrag.com/en/climbing/middle-east/area/7160757999
Upper cascade,41.28218433244,48.11647277773,3,"{""5.2"": 1, ""5.4"": 1, ""5.6"": 1}",{},"41.2824703,48.1161479,41.2818898,48.1167783",2,0,https://www.thecrag.com/en/climbing/azerbaijan/area/10831855827
Alborz,35.96726480912,50.80427869123,116,"{""5.6"": 1, ""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}","{""Trad"": {""count"": 2, ""pct"": ""22.2%""}, ""Aid"": {""count"": 1, ""pct"": ""11.1%""}, ""Sport"": {""count"": 6, ""pct"": ""66.7%""}}","36.3399299,50.1741116,35.5528088,51.479592",2,0,https://www.thecrag.com/en/climbing/iran/area/1361040261
Baraghan (Zone A),35.99329067408,50.95793285498,20,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}",{},"35.9940657,50.9571714,35.9926161,50.9586627",2,0,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537#t3383578131
Baraghan (Zone A),35.99329067408,50.95793285498,20,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}",{},"35.9940657,50.9571714,35.9926161,50.9586627",2,0,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537#t3383679273
Baraghan (Zone A),35.99329067408,50.95793285498,20,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}",{},"35.9940657,50.9571714,35.9926161,50.9586627",2,0,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537#t3383754531
Baraghan (Zone A),35.99329067408,50.95793285498,20,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}",{},"35.9940657,50.9571714,35.9926161,50.9586627",2,0,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537#t3383735409
Ardebil,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956837572
Eastern Azarbaijan,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956837518
Bushehr,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956845600
